Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
13.9,0.1,16.5,3.6,1.6,1.2,7.7,9.016,C
12.9,0.1,12.3,3.5,1.7,1.8,9.1,8.119,B
13.9,0.2,14.8,3.6,1.9,1.8,9.2,8.908,C
13,0.2,13.5,3.2,1.8,1.6,8.9,8.286,B
13.8,0.1,12.5,3.1,1.9,1.3,9.6,8.553,B
12.7,0.3,14.7,4.3,1.8,1.4,9.2,8.345,B
13.8,0.3,12.4,2.8,1.9,1.5,8.7,8.57,B
12.8,0.3,12.8,3.6,1.6,1.2,8.4,8.136,B
13.8,0.3,10.6,2.5,1.9,1.3,7.7,8.361,B
13,0.2,12.6,1.9,2,1.1,9.1,8.097,B
13.8,0.2,13.7,2.5,0.4,1.1,9.2,8.553,B
12,0.1,13.6,3.2,0.9,1.6,8.9,7.722,A
13,0.3,14.6,4.8,1.6,1.5,9.6,8.512,B
13.1,0.2,13.6,4.4,1.6,1.4,9.1,8.41,B
